col_name,value
custom2, "We have to mention that our vacation timing there was good. We experienced the rich, fragrant scent of the jasmine blooms that climb walls and fences all over the city."
destination, Orlando Florida
custom1, "This city is best known for Disney World and Universal, but it's also known for a lot more besides. I have been there to mix business with pleasure. It can handlke large business events and has plenty entertainment to get you to relax."
trip, "As we flew into the city we were put in awe seeing the massive swamps and lakes. There is no shortage. " 
sights, "Of course as part of our stay there we had to visit Walt Disney World and Universal Studios. The two parks are good at entertaining and so different. My wife nd I like the way Disnet handles the crowd and delivers entertainment. Our children like the adrenaline rush at Univeral." 
events, "The favorite park at Disney for us was the Epcot Center with International Food & Wine while the favorite Universal Studios park was the City Walk." 
people, "Meeting celebrities is a special time for our kids. There were Disney legends like Mickey Mouse and Universal specials like the minions."
custom2, "The city of Orlando has so much to offer. Aside from the parks, and gorgeous springs with their healing properties, one day we chose to go for a relaxing hike and grabbed a meal at The Old Spanish Sugar Mill and Griddle House."
destination, Caribbean Island
custom1, "Vacationing in the Caribbean waters is an event filled with sunshine, windy beaches, and plenty of outdoor fun. Some islands can be travelled in a short time while others may take a few days."
trip, "One of the special treats during plane landings are the Caribbean Sea and Coral Reefs which display vibrant colors. The Caribbean offers a taste of paradise and is renowned for clear waters across many of its islands. 
sights, "Our trip chosen took us to the Island of Jamaica where we spent time in an area called Montego Bay. It is known for its white sand beaches, shopping, and cruise line terminal.
events, "We spent much time in the pools and on the beach. But we found time to partake of the Carnival and Music Festivals. The fun and music was awesome. 
people, "Some of the best people there are the locals and there culture is about family. We enjoyed the laid-back attitude of the locals and spectacular surrounding landscapes.
custom2, "Jamaica is one of those places when you leave you have thoughts about when you return. We enjoyed ourselve thoroughly. We loved the food too."
destination, Hawaiian Islands
custom1, "The Hawaiian culture is still celebrated, perpetuated and creating history. Some of the tastiest and most diverse cuisine offerings originate from Hawaiian multicultural history."
trip, "The travel by plane is a long but relaxing flight. It all changes to excitement as we flew into the airport and saw the surrounding ocean and beautiful beaches. There was much to see over the Pacific Ocean and the Hawaian Volcanic Landscapes." 
sights, "Our resort overlooked the Waikiki Beach. So, we did not have far to go for the sunshine, breeze, and water. Later we to time to visit the Hawaii Volcanoes National Park. A wonderful treat." 
events, "We had planned on one of Aloha Festivals and the Merrie Monarch Festival. We are now festival out. But the experiences were not only wonderful but energy draining. If you don't like fun, do not travel to the Hawaiian islands." 
people, "We thought we might see Bruno Mars and Jason Momoa. Instead Elvis Presley look-a-likes were the alternatives. "
custom2, "Okay, let me closeout this report with an unusual "thing to do in Hawaii". Check out one or more coffee farm and tour. There are several to choose from and well worth your time."
destination, Florida Keys
custom1, "Florida Keys is about a hundred twenty five miles of fishing, diving, and snorkeling. And if you do not like any of those fun events, there is eating of seafoods you probably have never seen. And do not forget to finish the meal with Key Lime pie."
trip, "As you fly into the airport of Florida Keys and you see the Gulf of Mexico it is a wonderful sight. It does not reveal the beauty of the coral reef, fish of all kind, and the benefits of snorkeling, but it does showcase the vastness of the water."
sights, "We certainly appreciated the opportunity to fish a little, snorkel a little, swim a little, and eat a lot.  We also visited the Ernest Hemingway Home and the nearby Key West Butterfly & Nature Conservatory. There is so much to do and so many places to visit."
events, "We made it to the Annual Florida Keys Seafood Festival. It had a huge layout with plenty to eat over a two-day period. A good way to enjoy the good weather. Oh! You gotta try the snow crab!"
people, "We thought we might see Jimmy Buffett and Ernest Hemingway impersonators. Well, the Dolphins took our attention instead. 
custom2, "If you did not know, the Florida Keys consists of a string of islands that reach out from Florida into the Gulf. It makes water sports special. And when you combine that with partying, eating, and dancing it is joyful."
destination, Parents House
custom1, "Since leaving home, it is a nice thought to take some time and visit home. Home should always be a place that we see family and nostolgic places where memories were made."
trip, "The flight into town started the return of some good memories as we saw arial views of familiar landscapes and known landmarks." 
sights, "But once we arrived we let the good times roll. Childhood memories and family gatherings made the time go by. We even enjoyed a family visit to the neighborhood grocery as we stocked up on the foods we try to avoid the rest of the year." 
events, "This was one of the trips that included a Family reunion and a few neighborhood events. Seeing some of the neighbors is always a good thing for us. They were just as much a part of our fond memories helping us to create new ones." 
people, "Of course it is so special to us to spend some quality time with our parents and close family friends. Some of our close family friends grew up with us like sisters and brothers. Needless to say time went by quickly and it was time to return to our home away from home."
custom2, "Some families are geographically split across the states while some are just in two parts of the country. We were fortunate that only my family moved away. Everyone else remained in our home town. Maybe one day we hope to return to the nest. Until then we do our best to see the family as often as we can."
destination, Grandparents House
custom1, "Grandparents may have favorite places to eat, and favorite attractions they show us. But the best place is the home they keep renovating. The memories are special."
trip, "Whether we fly in or drive into town the countryside and cityscapes cause the memories to come flooding back. We are on our way to see grandma and grandpa." 
sights, "We never know what to expect when we visit. It might be a nostalgic visit, or a tour through the backyard garden. It might be time to see the family photo albums. It might be a trip in conversation to the old days." 
events, "This time the Grandparents Day celebration was filled with good fellowship, fun conversations, plenty of pictures to reminisce, and lots of food and drinks. We even had a chance to visit a local fair at our nearby church." 
people, "We also had a surprise visit while there. Some old friends of my Grand parents came by and were happy to see us and to see how our family had grown."
custom2, "We never grow tired of seeing the grand parents. They provide us with good stories and good things to remember. Whether the outside temperature is cold or hot, their hearts are tender and warm."
destination, Home Town in the North
custom1, "Out parents are no longer around to share in our holiday celebrations, but we have still this strong desire to return to where it all began for us. It is a pleasure to take the kids back to partake in it as well."
trip, "Just before we landed it was great to get an arial picture or two of the Northern forests and nearby lakes. It is amazing the landscape is still unscathed by new neighborhood development." 
sights, "We had a wonderful time visiting hometown landmarks like the local highschool and other favorite local spots. We even spent time at the local downtown mall where we use to frequently go to meet up with our friends." 
events, "We mostly had quiet time together but we managed to carve out a day at a nearby local holiday festival with a community parade included. That gave us a chance to see some of the people we have not seen for long time." 
people, "Local legends like the town mayor and even hometown heroes were on the scene. The weather was chilly with snow on the ground covering the loss of leaves on the bushes and trees."
custom2, "Our town was not the biggest, but we think of it as one of the best. Other twons may be big or famous or even filled with amusements and interesting things to see. But our town will always be loved and missed by us."
destination, Cabin in the Woods
custom1, "What a great little spot for a week or weekend getaway! Plenty of on-site amenities for those that want to enjoy a bit of woodsy seclusion with all the usual creature comforts."
trip, "Before we landed t the nearby airport we could already see the wide open Forests and winding rivers. We got excited before landing. This was truly a trip to look forward to."
sights, "When we drove up to our cabin it was impressive - large, rustic-looking, and rich in plants. The signs around let us know there were Nature trails and other cozy cabin stays nearby, but not too close. We had a private cabin in the woods." 
events, "Just about a half-mile away there was a gathering location to have Campfires and other outdoor adventures. We had the option of spending time with other folks or staying alone in the cabin and down by the lake. We took advantage of both scenes." 
people, "To top off the stay we had some friends from a town nearby that made time to come and visit for a day. That was an eventful day and close-knit gathering. We fished, hiked, and swam in the lake. Then we ate some of the fish we caught and shared stories and had a great time."
custom2, "A cabin in the woods is not always the greatest thing to do when you want to get away from the norm. But if you have never done it, you might find it as much fun as going to the islands.Make it your next adventure!"
destination, Camping Trip by the Lake
custom1, "What a great little place to spend a week or weekend to getaway! Plenty of on-site amenities for those that want to enjoy a bit of mountain seclusion with all the usual creature comforts."
trip, "From the plane the sight was great. Great Lakes and surrounding mountains made the scene look inviting. We were ready for a time in the outdoors with an opportunity to see the stars at night." 
sights, "We are photograpers and hikers. So, this outing was great. We were a little apprehensive about sleeping in tents but we were overly excited about the scenic lake views and wildlife spottings. Great opportunities to take memorable pictures and videos." 
events, "While we never planned on any fiahing it was great to watch and take pictures of those participating in the Fishing tournaments and nature hikes. Of course we did our share of hiking to see some ghreat views around the mountains." 
people, "We also enjoyed getting with fellow campers and outdoor enthusiasts. Camping is fun, but it is nice to have others around too."
custom2, "When you are camping, you get a chance to get in touch with nature, encounter wildlife and see the stars away from the bright lights of the big city. There is nothing quite like it."
destination, Winter Home in the South
custom1, "My wife and I have dreamed of having a home in the south to go to when the temperatures of the north get extremely cold. She likes comfort and I prefer it too. Extreme heat or cold is not appealing to us."
trip, "As we were approaching the airport landing we could see the sun-soaked landscapes and coastal views where we chose to call home in the winter. While the winter months were upon us we did not need its feeling on our skin." 
sights, "So, it was time to take in some relaxing by the beach and local attractions without having to put layers of clothing on before going outside. This was extra special knowing we had some weeks to look forward to." 
events, "This is a time we get to experience seasonal festivals and outdoor concerts. A time when there is plenty of sunshine, cool breezes, comfortable beaches, and other good outsoor activities." 
people, "Aside from the many things we could do together, we had some what you might call seasonal neighbors and local personalities. This helped us forget the cold weather and snow on the ground. Not that we did not find it nice once in a while. We just did not desire it daily. So, thank God he made the south."
custom2, "People living in the north travel south in the winter primarily to escape the harsh winters and enjoy warmer weather, sunshine, and outdoor activities in south, where they can participate in activities like golfing and beachgoing without the cold and snow."
destination, San Francisco
custom1, "This city is small but packed full of all kind of things to see and do. It is almost surrounded by water. San Francisco is known for its landmarks, neighborhoods, and transportation."
trip, "Flying into San Francisco provides the sight of many landmarks, especially a glimpse of the Golden Gate Bridge and Alcatraz Island. We were in awe as we landed." 
sights, "After we got settled it was our strong desire to get over to two favorite eating locations: Fisherman’s Wharf and Chinatown. We did not want to wait for another day before getting there. " 
events, "As if we had enough of eating we made it to the Outside Lands Music Festival and had a fun time eating again. Unfortunately, we did not do at the time that the Fleet Week celebration occurs. That will have to be left for another time. We made up for it with other attractions that we experienced in and around town." 
people, "We did get out across the golden gate bridge to Napa valley. We had wine tasting on our minds. And there is no shortage of wine tasting events and tours. We are so glad our children were of age to help us celebrate the vacation."
custom2, "You might run into people you know in unexpected places, making San Francisco feel quaint. It is known for beauty and unique neighborhoods. Take a trip there as soon as you can."
destination, Houston
custom1, "Houston serves up nationally recognized dining, shopping, entertainment and nightlife. It is one of those places where each side of town is different in its culture and cuisine."
trip, "The flight in makes you see that there is no shortage of trees, roadways, waterways, and tall buildings. You may have a hard time deciding on which cluster of buildings is downtown Houston." 
sights, "We could not visit Houston without checking out Space Center Houston and the Houston Museum of Natural Science. The experiences filled us with historical information and things for the future." 
events, "We missed the Houston Livestock Show and Rodeo but were in town for tyhe Mardi Gras festivities in the Galveston Bay area of Houston." 
people, "You never know when Beyoncé might be in town. Well she was not while we were there. But we saw some well known ball players for the Houston Astros and Titans."
custom2, "People have different opinions about Houston, from calling it an amazing city to saying it's uninhabitable. Some say Houston is a diverse city with a vibrant culture, great dining, and affordable living. Others just say things."
