Stock,#,Oil & Gas Stocks,Robotics Stocks,Gold Bullion,Paper Stocks,Utility Stocks,Auto Stocks,Airline Stocks,,Mutual Funds,Diamond Trade,Commodities Trade (Grain),Security Bonds,Silver Trade,Certificate Of Deposit,Money Market
BUS,5,Entertainment,Bowling Lanes,"$40,000","$20,000","$4,000",$15,,,,,,,,,
BUS,6,Entertainment,Golf Galery,"$35,000","$17,500","$3,500",$10,,,,,,,,,
BUS,7,Entertainment,Movie Theater,"$45,000","$22,500","$4,500",$10,,,,,,,,,
BUS,8,Entertainment,Mummy Museum,"$20,000","$10,000","$1,000",$30,,,,,,,,,
BUS,9,Investment Ally,Oil & Gas Stocks,"$300,000","$150,000","$15,000",$100,,,,,,,,,
BUS,10,Investment Ally,Robotics,"$500,000","$250,000","$25,000",$500,,,,,,,,,
BUS,11,Investment Ally,Gold Bullion,"$100,000","$50,000","$5,000","$1,000",,,,,,,,,
BUS,12,Investment Ally,Paper,"$90,000","$45,000","$4,500",$10,,,,,,,,,
BUS,13,Investment Ally,Utility,"$40,000","$20,000","$2,000",$40,,,,,,,,,
BUS,14,Investment Ally,Auto,"$70,000","$35,000","$3,500",$35,,,,,,,,,
BUS,15,Investment Ally,Airline,"$50,000","$25,000","$2,500",$25,,,,,,,,,
BUS,16,Wall St,Mutual Funds,"$300,000","$150,000","$15,000",$100,,,,,,,,,
BUS,17,Wall St,Diamonds R Us,"$300,000","$150,000","$15,000",$100,,,,,,,,,
BUS,18,Wall St,Commodities Trade,"$300,000","$150,000","$15,000",$100,,,,,,,,,
BUS,19,Wall St,Security Bonds,"$150,000","$75,000","$7,500",$50,,,,,,,,,
BUS,20,Wall St,Silver Trade,"$150,000","$75,000","$7,500",$75,,,,,,,,,
BUS,21,Wall St,Certificate of Deposit,"$150,000","$75,000","$7,500",$100,,,,,,,,,
BUS,22,Wall St,Money Market,"$150,000","$75,000","$7,500",$100,,,,,,,,,
BUS,23,Market St,Wally Mart,"$80,000","$40,000","$4,000",$100,,,,,,,,,
BUS,24,Market St,Sport Center,"$80,000","$40,000","$4,000",$100,,,,,,,,,
BUS,25,Market St,McRonald's,"$80,000","$40,000","$4,000",$100,,,,,,,,,
BUS,26,Market St,Audrey Furniture,"$80,000","$40,000","$4,000",$100,,,,,,,,,
BUS,27,Market St,Home Tool Shed,"$80,000","$40,000","$4,000",$100,,,,,,,,,
BUS,28,Market St,Famous Foot Shoes,"$80,000","$40,000","$4,000",$100,,,,,,,,,
BUS,29,Market St,Shears Hardware,"$80,000","$40,000","$4,000",$100,,,,,,,,,
OPP,#,Description of Event (Needs and Wants,Amount,,,,,,,,,,,,,
OPP,1,Sell all Stocks,"$25,000",,,,,,,,,,,,,
OPP,2,Food Shelter needs food supplies,"-$5,000",,,,,,,,,,,,,
OPP,3,"Buy new 80"" TV with wall mount and back lights","-$2,500",,,,,,,,,,,,,
OPP,4,Receive stock split for all stocks owned,$0,,,,,,,,,,,,,
OPP,5,Go to Life Center,$0,,,,,,,,,,,,,
OPP,6,Food Shelter needs food supplies,"-$5,000",,,,,,,,,,,,,
OPP,7,Go to Stock Center,$0,,,,,,,,,,,,,
OPP,8,Sell all Stocks,"$10,000",,,,,,,,,,,,,
OPP,9,Shelter needs bed supplies,"-$7,500",,,,,,,,,,,,,
OPP,10,Buy a new washer and dryer. Color don;t match walls.,"-$1,500",,,,,,,,,,,,,
OPP,11,Receive salary increase for your next pay cycle,$0,,,,,,,,,,,,,
OPP,12,Go to Stock Center,$0,,,,,,,,,,,,,
OPP,13,Animal Shelter needs supplies ,"-$3,500",,,,,,,,,,,,,
OPP,14,Go to Learning Center,$0,,,,,,,,,,,,,
OPP,15,Sell all stocks and properties,"$50,000",,,,,,,,,,,,,
OPP,16,Sell all properties,"$90,000",,,,,,,,,,,,,
OPP,17,Receive 10% of stock value,$0,,,,,,,,,,,,,
OPP,18,Receive 15% of property value,$0,,,,,,,,,,,,,
OPP,19,Society Club needs your help,"-$1,000",,,,,,,,,,,,,
OPP,20,Food Bank needs your help,-$500,,,,,,,,,,,,,
OPP,21,Go to Job Center,$0,,,,,,,,,,,,,
OPP,22,Go to College,$0,,,,,,,,,,,,,
OPP,23,Go to Job Center,$0,,,,,,,,,,,,,
OPP,24,Need new Food shelter ,"-$1,000",,,,,,,,,,,,,
OPP,25,Go to Job Center,$0,,,,,,,,,,,,,
OPP,26,Cash out. Sell all properties and stock,$0,,,,,,,,,,,,,
OPP,27,Cash out. Sell all business investments,$0,,,,,,,,,,,,,
OPP,28,Money gift to buy stocks. Use amount to purchase shares.,"$5,000",,,,,,,,,,,,,
OPP,29,Raising money for neighborhood park,"-$2,500",,,,,,,,,,,,,
OPP,30,Buy a car for fix up,"-$2,200",,,,,,,,,,,,,
OPP,31,Receive promotion starting next pay cycle,$0,,,,,,,,,,,,,
OPP,32,Go to Life Center,$0,,,,,,,,,,,,,
OPP,33,Insurance claim refund,"$8,000",,,,,,,,,,,,,
OPP,34,Go to Job Center,$0,,,,,,,,,,,,,
OPP,35,Buy tickets for family to visit Amuze Park,$500,,,,,,,,,,,,,
OPP,36,One week vacation at Vacation Resort with family,"$1,410",,,,,,,,,,,,,
OPP,37,Weekend family adventure at Rest & Recreation Park,$525,,,,,,,,,,,,,
OPP,38,One day outing at the Pizza Place with family,$75,,,,,,,,,,,,,
OPP,39,Night of bowling at the Bowling Lanes for family,$100,,,,,,,,,,,,,
OPP,40,Putting at the Golf Galery for the family,$110,,,,,,,,,,,,,
OPP,41,Family outing at Movie Theater,$90,,,,,,,,,,,,,
OPP,42,Family night at the Mummy Museum,$90,,,,,,,,,,,,,
OPP,43,Thanksgiving family flight to visit using Airline,1250,,,,,,,,,,,,,
OPP,44,Stock index change due to economy performance indicators,0,,,,,,,,,,,,,
